filename,time_sec,peak_mem_kb,result
uf20-0575.cnf,0.0026,0,SAT
uf20-0576.cnf,0.0036,0,SAT
uf20-0577.cnf,0.0017,0,SAT
uf20-0578.cnf,0.0012,0,SAT
uf20-0579.cnf,0.0013,0,SAT
uf20-058.cnf,0.0007,0,SAT
uf20-0580.cnf,0.0009,0,SAT
uf20-0581.cnf,0.0282,0,SAT
uf20-0582.cnf,0.0013,0,SAT
uf20-0583.cnf,0.0418,0,SAT
uf20-0584.cnf,0.0435,0,SAT
uf20-0585.cnf,0.0028,0,SAT
uf20-0586.cnf,0.0378,0,SAT
uf20-0587.cnf,0.0043,0,SAT
uf20-0588.cnf,0.0081,0,SAT
uf20-0589.cnf,0.0011,0,SAT
uf20-059.cnf,0.0135,0,SAT
uf20-0590.cnf,0.0013,0,SAT
uf20-0591.cnf,0.0088,0,SAT
uf20-0592.cnf,0.0052,0,SAT
uf20-0593.cnf,0.0073,0,SAT
uf20-0594.cnf,0.0015,0,SAT
uf20-0595.cnf,0.0031,0,SAT
uf20-0596.cnf,0.0130,0,SAT
uf20-0597.cnf,0.0468,0,SAT
uf20-0598.cnf,0.0721,0,SAT
uf20-0599.cnf,0.1364,0,SAT
uf20-06.cnf,0.0085,0,SAT
uf20-060.cnf,0.0023,0,SAT
uf20-0600.cnf,0.0215,0,SAT
uf20-0601.cnf,0.0032,0,SAT
uf20-0602.cnf,0.0015,0,SAT
uf20-0603.cnf,0.0028,0,SAT
uf20-0604.cnf,0.0006,0,SAT
uf20-0605.cnf,0.0015,0,SAT
uf20-0606.cnf,0.0016,0,SAT
uf20-0607.cnf,0.0014,0,SAT
uf20-0608.cnf,0.0231,0,SAT
uf20-0609.cnf,0.0022,0,SAT
uf20-061.cnf,0.0033,0,SAT
uf20-0610.cnf,0.0029,0,SAT
uf20-0611.cnf,0.0021,0,SAT
uf20-0612.cnf,0.0874,0,SAT
uf20-0613.cnf,0.0149,0,SAT
uf20-0614.cnf,0.0083,0,SAT
uf20-0615.cnf,0.0042,0,SAT
